round,algorithm,seed,test_accuracy,round_train_seconds,matching_seconds,selected_clients,assignments,task_seeds,guidance_active,guidance_refreshed
21,FedPhoenixRG-Excess,1,50.61000061035156,10.81208579998929,0.0,"[26, 25, 15, 93, 45, 54, 68, 90, 76, 10]","[{""client_id"": 26, ""task_id"": 0}, {""client_id"": 25, ""task_id"": 1}, {""client_id"": 15, ""task_id"": 2}, {""client_id"": 93, ""task_id"": 3}, {""client_id"": 45, ""task_id"": 4}, {""client_id"": 54, ""task_id"": 5}, {""client_id"": 68, ""task_id"": 6}, {""client_id"": 90, ""task_id"": 7}, {""client_id"": 76, ""task_id"": 8}, {""client_id"": 10, ""task_id"": 9}]","[2200061, 2201058, 2202055, 2203052, 2204049, 2205046, 2206043, 2207040, 2208037, 2209034]",1,0
22,FedPhoenixRG-Excess,1,54.04999923706055,9.858324499975424,0.0,"[84, 74, 93, 1, 48, 44, 29, 26, 94, 75]","[{""client_id"": 84, ""task_id"": 0}, {""client_id"": 74, ""task_id"": 1}, {""client_id"": 93, ""task_id"": 2}, {""client_id"": 1, ""task_id"": 3}, {""client_id"": 48, ""task_id"": 4}, {""client_id"": 44, ""task_id"": 5}, {""client_id"": 29, ""task_id"": 6}, {""client_id"": 26, ""task_id"": 7}, {""client_id"": 94, ""task_id"": 8}, {""client_id"": 75, ""task_id"": 9}]","[2300064, 2301061, 2302058, 2303055, 2304052, 2305049, 2306046, 2307043, 2308040, 2309037]",1,0
23,FedPhoenixRG-Excess,1,50.150001525878906,9.896028199989814,0.0,"[71, 58, 50, 22, 59, 84, 10, 70, 43, 67]","[{""client_id"": 71, ""task_id"": 0}, {""client_id"": 58, ""task_id"": 1}, {""client_id"": 50, ""task_id"": 2}, {""client_id"": 22, ""task_id"": 3}, {""client_id"": 59, ""task_id"": 4}, {""client_id"": 84, ""task_id"": 5}, {""client_id"": 10, ""task_id"": 6}, {""client_id"": 70, ""task_id"": 7}, {""client_id"": 43, ""task_id"": 8}, {""client_id"": 67, ""task_id"": 9}]","[2400067, 2401064, 2402061, 2403058, 2404055, 2405052, 2406049, 2407046, 2408043, 2409040]",1,0
24,FedPhoenixRG-Excess,1,49.95000076293945,12.778780900000129,0.0,"[70, 54, 33, 75, 31, 58, 17, 6, 3, 51]","[{""client_id"": 70, ""task_id"": 0}, {""client_id"": 54, ""task_id"": 1}, {""client_id"": 33, ""task_id"": 2}, {""client_id"": 75, ""task_id"": 3}, {""client_id"": 31, ""task_id"": 4}, {""client_id"": 58, ""task_id"": 5}, {""client_id"": 17, ""task_id"": 6}, {""client_id"": 6, ""task_id"": 7}, {""client_id"": 3, ""task_id"": 8}, {""client_id"": 51, ""task_id"": 9}]","[2500070, 2501067, 2502064, 2503061, 2504058, 2505055, 2506052, 2507049, 2508046, 2509043]",1,0
25,FedPhoenixRG-Excess,1,53.2400016784668,11.013451999984682,0.0,"[42, 87, 33, 36, 30, 84, 78, 98, 71, 75]","[{""client_id"": 42, ""task_id"": 0}, {""client_id"": 87, ""task_id"": 1}, {""client_id"": 33, ""task_id"": 2}, {""client_id"": 36, ""task_id"": 3}, {""client_id"": 30, ""task_id"": 4}, {""client_id"": 84, ""task_id"": 5}, {""client_id"": 78, ""task_id"": 6}, {""client_id"": 98, ""task_id"": 7}, {""client_id"": 71, ""task_id"": 8}, {""client_id"": 75, ""task_id"": 9}]","[2600073, 2601070, 2602067, 2603064, 2604061, 2605058, 2606055, 2607052, 2608049, 2609046]",1,0
26,FedPhoenixRG-Excess,1,48.869998931884766,10.561511599982623,0.0,"[41, 47, 34, 10, 51, 11, 50, 16, 86, 64]","[{""client_id"": 41, ""task_id"": 0}, {""client_id"": 47, ""task_id"": 1}, {""client_id"": 34, ""task_id"": 2}, {""client_id"": 10, ""task_id"": 3}, {""client_id"": 51, ""task_id"": 4}, {""client_id"": 11, ""task_id"": 5}, {""client_id"": 50, ""task_id"": 6}, {""client_id"": 16, ""task_id"": 7}, {""client_id"": 86, ""task_id"": 8}, {""client_id"": 64, ""task_id"": 9}]","[2700076, 2701073, 2702070, 2703067, 2704064, 2705061, 2706058, 2707055, 2708052, 2709049]",1,0
27,FedPhoenixRG-Excess,1,53.720001220703125,11.685463699977845,0.0,"[58, 82, 63, 50, 98, 84, 4, 46, 65, 88]","[{""client_id"": 58, ""task_id"": 0}, {""client_id"": 82, ""task_id"": 1}, {""client_id"": 63, ""task_id"": 2}, {""client_id"": 50, ""task_id"": 3}, {""client_id"": 98, ""task_id"": 4}, {""client_id"": 84, ""task_id"": 5}, {""client_id"": 4, ""task_id"": 6}, {""client_id"": 46, ""task_id"": 7}, {""client_id"": 65, ""task_id"": 8}, {""client_id"": 88, ""task_id"": 9}]","[2800079, 2801076, 2802073, 2803070, 2804067, 2805064, 2806061, 2807058, 2808055, 2809052]",1,0
28,FedPhoenixRG-Excess,1,50.88999938964844,8.693270399991889,0.0,"[99, 88, 69, 16, 46, 29, 90, 91, 4, 45]","[{""client_id"": 99, ""task_id"": 0}, {""client_id"": 88, ""task_id"": 1}, {""client_id"": 69, ""task_id"": 2}, {""client_id"": 16, ""task_id"": 3}, {""client_id"": 46, ""task_id"": 4}, {""client_id"": 29, ""task_id"": 5}, {""client_id"": 90, ""task_id"": 6}, {""client_id"": 91, ""task_id"": 7}, {""client_id"": 4, ""task_id"": 8}, {""client_id"": 45, ""task_id"": 9}]","[2900082, 2901079, 2902076, 2903073, 2904070, 2905067, 2906064, 2907061, 2908058, 2909055]",1,0
29,FedPhoenixRG-Excess,1,47.18000030517578,12.320635200012475,0.0,"[80, 73, 28, 34, 1, 10, 13, 65, 5, 49]","[{""client_id"": 80, ""task_id"": 0}, {""client_id"": 73, ""task_id"": 1}, {""client_id"": 28, ""task_id"": 2}, {""client_id"": 34, ""task_id"": 3}, {""client_id"": 1, ""task_id"": 4}, {""client_id"": 10, ""task_id"": 5}, {""client_id"": 13, ""task_id"": 6}, {""client_id"": 65, ""task_id"": 7}, {""client_id"": 5, ""task_id"": 8}, {""client_id"": 49, ""task_id"": 9}]","[3000085, 3001082, 3002079, 3003076, 3004073, 3005070, 3006067, 3007064, 3008061, 3009058]",1,0
30,FedPhoenixRG-Excess,1,54.220001220703125,10.156832400010899,0.0,"[62, 41, 74, 11, 99, 8, 75, 26, 81, 85]","[{""client_id"": 62, ""task_id"": 0}, {""client_id"": 41, ""task_id"": 1}, {""client_id"": 74, ""task_id"": 2}, {""client_id"": 11, ""task_id"": 3}, {""client_id"": 99, ""task_id"": 4}, {""client_id"": 8, ""task_id"": 5}, {""client_id"": 75, ""task_id"": 6}, {""client_id"": 26, ""task_id"": 7}, {""client_id"": 81, ""task_id"": 8}, {""client_id"": 85, ""task_id"": 9}]","[3100088, 3101085, 3102082, 3103079, 3104076, 3105073, 3106070, 3107067, 3108064, 3109061]",1,0
31,FedPhoenixRG-Excess,1,57.720001220703125,8.710908000008203,0.0,"[96, 81, 77, 83, 14, 50, 13, 67, 53, 91]","[{""client_id"": 96, ""task_id"": 0}, {""client_id"": 81, ""task_id"": 1}, {""client_id"": 77, ""task_id"": 2}, {""client_id"": 83, ""task_id"": 3}, {""client_id"": 14, ""task_id"": 4}, {""client_id"": 50, ""task_id"": 5}, {""client_id"": 13, ""task_id"": 6}, {""client_id"": 67, ""task_id"": 7}, {""client_id"": 53, ""task_id"": 8}, {""client_id"": 91, ""task_id"": 9}]","[3200091, 3201088, 3202085, 3203082, 3204079, 3205076, 3206073, 3207070, 3208067, 3209064]",1,0
32,FedPhoenixRG-Excess,1,54.63999938964844,11.39411699998891,0.0,"[40, 73, 70, 3, 6, 94, 1, 25, 20, 10]","[{""client_id"": 40, ""task_id"": 0}, {""client_id"": 73, ""task_id"": 1}, {""client_id"": 70, ""task_id"": 2}, {""client_id"": 3, ""task_id"": 3}, {""client_id"": 6, ""task_id"": 4}, {""client_id"": 94, ""task_id"": 5}, {""client_id"": 1, ""task_id"": 6}, {""client_id"": 25, ""task_id"": 7}, {""client_id"": 20, ""task_id"": 8}, {""client_id"": 10, ""task_id"": 9}]","[3300094, 3301091, 3302088, 3303085, 3304082, 3305079, 3306076, 3307073, 3308070, 3309067]",1,0
33,FedPhoenixRG-Excess,1,56.58000183105469,11.122319999965839,0.0,"[45, 16, 51, 88, 17, 78, 36, 44, 21, 62]","[{""client_id"": 45, ""task_id"": 0}, {""client_id"": 16, ""task_id"": 1}, {""client_id"": 51, ""task_id"": 2}, {""client_id"": 88, ""task_id"": 3}, {""client_id"": 17, ""task_id"": 4}, {""client_id"": 78, ""task_id"": 5}, {""client_id"": 36, ""task_id"": 6}, {""client_id"": 44, ""task_id"": 7}, {""client_id"": 21, ""task_id"": 8}, {""client_id"": 62, ""task_id"": 9}]","[3400097, 3401094, 3402091, 3403088, 3404085, 3405082, 3406079, 3407076, 3408073, 3409070]",1,0
34,FedPhoenixRG-Excess,1,64.55000305175781,8.407305200002156,0.0,"[92, 43, 97, 61, 58, 67, 1, 98, 30, 75]","[{""client_id"": 92, ""task_id"": 0}, {""client_id"": 43, ""task_id"": 1}, {""client_id"": 97, ""task_id"": 2}, {""client_id"": 61, ""task_id"": 3}, {""client_id"": 58, ""task_id"": 4}, {""client_id"": 67, ""task_id"": 5}, {""client_id"": 1, ""task_id"": 6}, {""client_id"": 98, ""task_id"": 7}, {""client_id"": 30, ""task_id"": 8}, {""client_id"": 75, ""task_id"": 9}]","[3500100, 3501097, 3502094, 3503091, 3504088, 3505085, 3506082, 3507079, 3508076, 3509073]",1,0
35,FedPhoenixRG-Excess,1,54.41999816894531,11.207844000018667,0.0,"[31, 89, 17, 66, 92, 23, 96, 9, 35, 20]","[{""client_id"": 31, ""task_id"": 0}, {""client_id"": 89, ""task_id"": 1}, {""client_id"": 17, ""task_id"": 2}, {""client_id"": 66, ""task_id"": 3}, {""client_id"": 92, ""task_id"": 4}, {""client_id"": 23, ""task_id"": 5}, {""client_id"": 96, ""task_id"": 6}, {""client_id"": 9, ""task_id"": 7}, {""client_id"": 35, ""task_id"": 8}, {""client_id"": 20, ""task_id"": 9}]","[3600103, 3601100, 3602097, 3603094, 3604091, 3605088, 3606085, 3607082, 3608079, 3609076]",1,0
36,FedPhoenixRG-Excess,1,51.790000915527344,13.675348399963696,0.0,"[72, 68, 65, 28, 23, 85, 16, 60, 73, 78]","[{""client_id"": 72, ""task_id"": 0}, {""client_id"": 68, ""task_id"": 1}, {""client_id"": 65, ""task_id"": 2}, {""client_id"": 28, ""task_id"": 3}, {""client_id"": 23, ""task_id"": 4}, {""client_id"": 85, ""task_id"": 5}, {""client_id"": 16, ""task_id"": 6}, {""client_id"": 60, ""task_id"": 7}, {""client_id"": 73, ""task_id"": 8}, {""client_id"": 78, ""task_id"": 9}]","[3700106, 3701103, 3702100, 3703097, 3704094, 3705091, 3706088, 3707085, 3708082, 3709079]",1,0
37,FedPhoenixRG-Excess,1,61.459999084472656,10.523729300010018,0.0,"[66, 49, 62, 9, 84, 68, 74, 3, 44, 71]","[{""client_id"": 66, ""task_id"": 0}, {""client_id"": 49, ""task_id"": 1}, {""client_id"": 62, ""task_id"": 2}, {""client_id"": 9, ""task_id"": 3}, {""client_id"": 84, ""task_id"": 4}, {""client_id"": 68, ""task_id"": 5}, {""client_id"": 74, ""task_id"": 6}, {""client_id"": 3, ""task_id"": 7}, {""client_id"": 44, ""task_id"": 8}, {""client_id"": 71, ""task_id"": 9}]","[3800109, 3801106, 3802103, 3803100, 3804097, 3805094, 3806091, 3807088, 3808085, 3809082]",1,0
38,FedPhoenixRG-Excess,1,58.40999984741211,8.394853200006764,0.0,"[50, 73, 27, 38, 8, 53, 21, 14, 28, 64]","[{""client_id"": 50, ""task_id"": 0}, {""client_id"": 73, ""task_id"": 1}, {""client_id"": 27, ""task_id"": 2}, {""client_id"": 38, ""task_id"": 3}, {""client_id"": 8, ""task_id"": 4}, {""client_id"": 53, ""task_id"": 5}, {""client_id"": 21, ""task_id"": 6}, {""client_id"": 14, ""task_id"": 7}, {""client_id"": 28, ""task_id"": 8}, {""client_id"": 64, ""task_id"": 9}]","[3900112, 3901109, 3902106, 3903103, 3904100, 3905097, 3906094, 3907091, 3908088, 3909085]",1,0
39,FedPhoenixRG-Excess,1,58.84000015258789,9.736574499984272,0.0,"[48, 87, 40, 59, 3, 10, 75, 35, 49, 89]","[{""client_id"": 48, ""task_id"": 0}, {""client_id"": 87, ""task_id"": 1}, {""client_id"": 40, ""task_id"": 2}, {""client_id"": 59, ""task_id"": 3}, {""client_id"": 3, ""task_id"": 4}, {""client_id"": 10, ""task_id"": 5}, {""client_id"": 75, ""task_id"": 6}, {""client_id"": 35, ""task_id"": 7}, {""client_id"": 49, ""task_id"": 8}, {""client_id"": 89, ""task_id"": 9}]","[4000115, 4001112, 4002109, 4003106, 4004103, 4005100, 4006097, 4007094, 4008091, 4009088]",1,0
40,FedPhoenixRG-Excess,1,64.12000274658203,9.4012985000154,0.0,"[83, 93, 34, 60, 90, 45, 42, 41, 91, 36]","[{""client_id"": 83, ""task_id"": 0}, {""client_id"": 93, ""task_id"": 1}, {""client_id"": 34, ""task_id"": 2}, {""client_id"": 60, ""task_id"": 3}, {""client_id"": 90, ""task_id"": 4}, {""client_id"": 45, ""task_id"": 5}, {""client_id"": 42, ""task_id"": 6}, {""client_id"": 41, ""task_id"": 7}, {""client_id"": 91, ""task_id"": 8}, {""client_id"": 36, ""task_id"": 9}]","[4100118, 4101115, 4102112, 4103109, 4104106, 4105103, 4106100, 4107097, 4108094, 4109091]",1,1
41,FedPhoenixRG-Excess,1,66.1500015258789,9.712342699989676,0.0,"[75, 52, 20, 80, 90, 93, 4, 51, 13, 98]","[{""client_id"": 75, ""task_id"": 0}, {""client_id"": 52, ""task_id"": 1}, {""client_id"": 20, ""task_id"": 2}, {""client_id"": 80, ""task_id"": 3}, {""client_id"": 90, ""task_id"": 4}, {""client_id"": 93, ""task_id"": 5}, {""client_id"": 4, ""task_id"": 6}, {""client_id"": 51, ""task_id"": 7}, {""client_id"": 13, ""task_id"": 8}, {""client_id"": 98, ""task_id"": 9}]","[4200121, 4201118, 4202115, 4203112, 4204109, 4205106, 4206103, 4207100, 4208097, 4209094]",1,0
